id,category,priority,description,attachment,page_url,user,status,created_at,updated_at
49,feature,high,作業時間や人数などを取り込むか入力できるようにして各ラインの分析ができたらうれしい。または出来高をエクスポートするか飛ばすかして別で分析できるとありがたい,,http://10.168.124.11:8000/production/graph/weekly/131/?week=2025-W29&part=,admin,new,2025-08-06 08:00:18.552233+00:00,2025-08-06 08:00:18.552233+00:00
48,feature,high,"月間分析について
班全体の月ごとの推移を見たいときもあるので
お気に入りなどに登録されているライン一覧を表示してほしい。Aラインは今月は未達だがBラインはもの凄く頑張ったのでAラインBライン合わせても班の目標は達成しているとかを見たい",,http://10.168.124.11:8000/production/graph/monthly/131/?month=2025-07&part=,admin,new,2025-08-06 07:52:12.016347+00:00,2025-08-06 07:52:12.016347+00:00
47,feature,high,"トラブルは停止時間と回数でデータ取りをすると思うが
既に登録されているトラブル名に対し何回トラブルが発生しているか機種毎に集計できたらありがたい",,http://10.168.124.11:8000/production/feedback/,admin,new,2025-08-06 07:47:05.572612+00:00,2025-08-06 07:47:05.572612+00:00
46,feature,high,試験データと紐付けができたら一番いいと思うが、対象日の試験データを呼び出せるボタンなどがあればよいと思う。設備検証時にも使用しやすいようにしてほしい,,http://10.168.124.11:8000/production/dashboard/131/2025-07-08/,admin,new,2025-08-06 07:45:33.298882+00:00,2025-08-06 07:45:33.298882+00:00
45,other,low,時間別計画・実績表示のグラフの数量のMAX値見直し必要？(現状のままだと、計画に対し実績が上回った時に、きちんと表示されるのか不明 ？,,http://10.168.124.11:8000/production/dashboard/131/2025-07-30/,admin,new,2025-07-30 06:51:17.899545+00:00,2025-07-30 06:51:17.899545+00:00
44,other,medium,"時間別計画・実績のグラフ表示の時間の区切りを見直してほしい。
現状　8時30～9時30　9時30～10時30　・・・・・・・
変更　日報の時間区切りと同じようにしてほしい",,http://10.168.124.11:8000/production/dashboard/131/2025-07-30/,admin,new,2025-07-30 06:45:02.781430+00:00,2025-07-30 06:45:02.781430+00:00
43,other,medium,時間別計画・実績のグラフ表示の数の区切りを修正してほしい(切の悪い数字なので、10単位にしてほしい）,,http://10.168.124.11:8000/production/dashboard/131/2025-07-30/,admin,new,2025-07-30 06:42:37.827869+00:00,2025-07-30 06:42:37.827869+00:00
42,feature,high,"稼働状況がわかる棒グラフの表示が欲しい
※出来高の落ちている理由が、段取りかえによるものか、
そのほかの停止(ﾄﾗﾌﾞﾙ)によるものかとかがわかるグラフ表示
が欲しい",,http://10.168.124.11:8000/production/line-select/,admin,new,2025-07-30 06:37:14.739396+00:00,2025-07-30 06:37:14.739396+00:00
41,feature,high,アクセス可能ラインを一覧で確認できるグラフが欲しい,,http://10.168.124.11:8000/production/feedback/,admin,new,2025-07-25 01:28:28.520760+00:00,2025-07-25 01:28:28.520760+00:00
40,feature,high,プロフィール画面で、各自のアクセス可能ライン（お気に入りライン）の登録をできるようにしたい,,http://10.168.124.11:8000/production/feedback/,admin,new,2025-07-25 01:26:56.171824+00:00,2025-07-25 01:26:56.171824+00:00
39,feature,medium,ホーム画面のアクセス可能ライン表示で各ラインの現状がざっくり分かるように背面カラーを正常運転中：緑、ﾄﾗﾌﾞﾙ：赤、黄：運転準備中　灰：電源OFFぐらいで表示するのはどうでしょうか。,,http://10.168.124.11:8000/production/line-select/,admin,new,2025-07-24 04:03:58.568760+00:00,2025-07-24 04:03:58.568760+00:00
38,feature,medium,ホーム画面のアクセスするライン選択のプルダウンとダッシュボードのSWをなくして、アクセス可能ラインの歯車マークorライン名部分からダッシュボードに飛べたらわかりやすいかもしないです。,,http://10.168.124.11:8000/production/line-select/,admin,new,2025-07-24 03:57:15.302521+00:00,2025-07-24 04:04:14.862218+00:00
37,feature,medium,棒グラフの色合いをもう少し違いを出してほしい,,http://10.168.124.11:8000/production/dashboard/137/2025-07-23/,admin,new,2025-07-23 09:49:56.199071+00:00,2025-07-23 09:49:56.199071+00:00
36,feature,high,タクト時間（１サイクルタクト）の集計も入れて欲しい,,http://10.168.124.11:8000/production/dashboard/131/2025-07-23/,admin,new,2025-07-23 09:48:49.606381+00:00,2025-07-23 09:48:49.606381+00:00
35,feature,high,ダウンタイム関係はどのように表示させるのか,,http://10.168.124.11:8000/production/dashboard/131/2025-07-23/,admin,new,2025-07-23 09:47:36.679427+00:00,2025-07-23 09:47:36.679427+00:00
34,feature,high,簡易的なグラフか数値でもよいので全体が見えるようなページが欲しい,,http://10.168.124.11:8000/production/line-select/,admin,new,2025-07-23 09:43:57.963067+00:00,2025-07-23 09:43:57.963067+00:00
33,feature,medium,ダッシュボードのライン名がコードなので、どこのラインかわからない,,http://10.168.124.11:8000/production/line-select/,admin,new,2025-07-18 08:36:14.225460+00:00,2025-07-18 08:36:14.225460+00:00
32,feature,high,データをもとに、生産日報・週報・月報のひな形を作成してほしい,,http://10.168.124.11:8000/production/dashboard/131/2025-07-18/,admin,new,2025-07-18 08:34:58.495354+00:00,2025-07-18 08:34:58.495354+00:00
31,feature,high,週別分析ページが重い,,http://10.168.124.11:8000/production/dashboard/131/2025-07-18/,admin,new,2025-07-18 08:33:35.408857+00:00,2025-07-18 08:33:35.408857+00:00
30,feature,high,ダッシュボードに、予測終了時刻が欲しい,,http://10.168.124.11:8000/production/feedback/,admin,new,2025-07-18 08:33:06.065397+00:00,2025-07-18 08:33:06.065397+00:00
29,feature,high,実績データをダミーではなく実データにしてほしい,,http://10.168.124.11:8000/production/dashboard/131/2025-07-18/,admin,new,2025-07-18 08:32:47.641892+00:00,2025-07-18 08:32:47.641892+00:00
